date,bitcoin,isPartial
2011-01-01,25.0,False
2011-01-02,0.0,False
2011-01-03,32.0,False
2011-01-04,31.0,False
2011-01-05,0.0,False
2011-01-06,0.0,False
2011-01-07,30.0,False
2011-01-08,0.0,False
2011-01-09,19.0,False
2011-01-10,22.0,False
2011-01-11,0.0,False
2011-01-12,0.0,False
2011-01-13,15.0,False
2011-01-14,15.0,False
2011-01-15,39.0,False
2011-01-16,0.0,False
2011-01-17,15.0,False
2011-01-18,14.0,False
2011-01-19,15.0,False
2011-01-20,14.0,False
2011-01-21,29.0,False
2011-01-22,0.0,False
2011-01-23,19.0,False
2011-01-24,14.0,False
2011-01-25,0.0,False
2011-01-26,0.0,False
2011-01-27,0.0,False
2011-01-28,15.0,False
2011-01-29,18.0,False
2011-01-30,0.0,False
2011-01-31,14.0,False
2011-02-01,27.0,False
2011-02-02,0.0,False
2011-02-03,0.0,False
2011-02-04,0.0,False
2011-02-05,26.0,False
2011-02-06,0.0,False
2011-02-07,14.0,False
2011-02-08,27.0,False
2011-02-09,14.0,False
2011-02-10,85.0,False
2011-02-11,59.0,False
2011-02-12,37.0,False
2011-02-13,76.0,False
2011-02-14,36.0,False
2011-02-15,50.0,False
2011-02-16,56.0,False
2011-02-17,58.0,False
2011-02-18,30.0,False
2011-02-19,37.0,False
2011-02-20,38.0,False
2011-02-21,45.0,False
2011-02-22,56.0,False
2011-02-23,28.0,False
2011-02-24,49.0,False
2011-02-25,37.0,False
2011-02-26,37.0,False
2011-02-27,55.0,False
2011-02-28,48.0,False
2011-03-01,62.0,False
2011-03-02,42.0,False
2011-03-03,28.0,False
2011-03-04,44.0,False
2011-03-05,37.0,False
2011-03-06,64.0,False
2011-03-07,42.0,False
2011-03-08,49.0,False
2011-03-09,35.0,False
2011-03-10,57.0,False
2011-03-11,29.0,False
2011-03-12,20.0,False
2011-03-13,0.0,False
2011-03-14,24.0,False
2011-03-15,15.0,False
2011-03-16,43.0,False
2011-03-17,30.0,False
2011-03-18,30.0,False
2011-03-19,18.0,False
2011-03-20,18.0,False
2011-03-21,50.0,False
2011-03-22,49.0,False
2011-03-23,83.0,False
2011-03-24,43.0,False
2011-03-25,60.0,False
2011-03-26,45.0,False
2011-03-27,100.0,False
2011-03-28,42.0,False
2011-03-29,21.0,False
2011-03-30,42.0,False
2011-03-31,21.0,False
2011-04-01,44.0,False
2011-04-02,11.0,False
2011-04-03,11.0,False
2011-04-04,33.0,False
2011-04-05,44.0,False
2011-04-06,22.0,False
2011-04-07,33.0,False
2011-04-08,33.0,False
2011-04-09,33.0,False
2011-04-10,44.0,False
2011-04-11,44.0,False
2011-04-12,22.0,False
2011-04-13,55.0,False
2011-04-14,22.0,False
2011-04-15,33.0,False
2011-04-16,66.0,False
2011-04-17,55.0,False
2011-04-18,66.0,False
2011-04-19,55.0,False
2011-04-20,66.0,False
2011-04-21,55.0,False
2011-04-22,44.0,False
2011-04-23,22.0,False
2011-04-24,66.0,False
2011-04-25,88.0,False
2011-04-26,55.0,False
2011-04-27,66.0,False
2011-04-28,88.0,False
2011-04-29,33.0,False
2011-04-30,66.0,False
2011-05-01,121.0,False
2011-05-02,33.0,False
2011-05-03,55.0,False
2011-05-04,55.0,False
2011-05-05,44.0,False
2011-05-06,99.0,False
2011-05-07,88.0,False
2011-05-08,110.0,False
2011-05-09,99.0,False
2011-05-10,99.0,False
2011-05-11,88.0,False
2011-05-12,121.0,False
2011-05-13,110.0,False
2011-05-14,99.0,False
2011-05-15,121.0,False
2011-05-16,517.0,False
2011-05-17,341.0,False
2011-05-18,220.0,False
2011-05-19,396.0,False
2011-05-20,462.0,False
2011-05-21,231.0,False
