Date,Close,Close_lag1,plot_ret,ret,ret_lead1,ret_lead2,ret_lead3,ret_lead4,ret_lead5,ret_lead6,ret_lead7,day,week,Close_lead1w,Close_lag1w,weekly_ret,weekly_ret_lead1,weekly_ret_lead2,weekly_ret_lead3,weekly_ret_lead4,bins
2011-01-09,0.323,0.3229,0.000309693403530487,0.000309693403530487,0.0111455108359133,0,-0.0238824249846908,-0.00376411543287325,0.259445843828716,-0.035,0.0020725388601035,1,3,0.3868,0.3,0.0766666666666667,0.197523219814241,0.143743536711479,0.084764918625678,0.874765576161701,4
2011-01-16,0.3868,0.386,0.0020725388601035,0.0020725388601035,-0.0964322647362978,-0.104434907010014,0,0.246006389776358,0.0766666666666667,0.0581090735889498,-0.00427638982669354,1,4,0.4424,0.323,0.197523219814241,0.143743536711479,0.084764918625678,0.874765576161701,0.16705568522841,5
2011-01-23,0.4424,0.4443,-0.00427638982669354,-0.00427638982669354,-0.050858951175407,-0.0235770421528936,0.0170731707317073,0.0100719424460431,0.0588793922127255,-0.015695067264574,0.0931662870159453,1,5,0.4799,0.3868,0.143743536711479,0.084764918625678,0.874765576161701,0.16705568522841,-0.190476190476191,5
2011-01-30,0.4799,0.439,0.0931662870159453,0.0931662870159453,0.0835590748072517,0.346153846153846,0.0228571428571429,-0.0363128491620112,0.17536231884058,0.134401972872996,-0.0220652173913043,1,6,0.8997,0.4424,0.084764918625678,0.874765576161701,0.16705568522841,-0.190476190476191,0.0470588235294118,4
2011-02-06,0.8997,0.92,-0.0220652173913043,-0.0220652173913043,-0.0107813715683006,0.0314606741573034,0.187363834422658,-0.100642201834863,0.091502601244517,0.00925233644859813,-0.0276877488656357,1,7,1.05,0.4799,0.874765576161701,0.16705568522841,-0.190476190476191,0.0470588235294118,0.0111235955056179,5
2011-02-13,1.05,1.0799,-0.0276877488656357,-0.0276877488656357,0.019047619047619,-0.0186915887850467,-0.00476190476190486,-0.00478468899521523,-0.135673076923077,0.0557347869618421,-0.104320337197049,1,8,0.85,0.8997,0.16705568522841,-0.190476190476191,0.0470588235294118,0.0111235955056179,-0.00822313590398938,5
2011-02-20,0.85,0.949,-0.104320337197049,-0.104320337197049,-0.018235294117647,0.0427801078490113,0.0342450011491611,0.108222222222222,-0.0865249649087627,0.0514762375150917,-0.0709812108559499,1,9,0.89,1.05,-0.190476190476191,0.0470588235294118,0.0111235955056179,-0.00822313590398938,-0.169635854341737,1
2011-02-27,0.89,0.958,-0.0709812108559499,-0.0709812108559499,-0.0337078651685394,0.0700000000000001,0.0214083894805477,-0.000851154378125218,-0.0405707592375679,0.0103218645948946,-0.0114248050093375,1,10,0.8999,0.85,0.0470588235294118,0.0111235955056179,-0.00822313590398938,-0.169635854341737,0.106463365267845,4
2011-03-06,0.8999,0.9103,-0.0114248050093375,-0.0114248050093375,-0.0165573952661408,-0.0169491525423729,-0.00632183908045969,0.0791208791208791,-0.0567048987029691,0.0431818181818182,-0.0277777777777779,1,11,0.8925,0.89,0.0111235955056179,-0.00822313590398938,-0.169635854341737,0.106463365267845,-0.0499999999999999,3
2011-03-13,0.8925,0.918,-0.0277777777777779,-0.0277777777777779,0.00268907563025222,-0.0278243379148508,-0.0114942528735632,-0.0402325581395349,-0.0107826508359583,-0.0630740967544397,-0.0312418300653595,1,12,0.7411,0.8999,-0.00822313590398938,-0.169635854341737,0.106463365267845,-0.0499999999999999,-0.054043645699615,2
2011-03-20,0.7411,0.765,-0.0312418300653595,-0.0312418300653595,0.0241532856564566,0.0658761528326746,0.0503090234857848,0.0202424385077087,0.0194947514130812,-0.0323602625028288,-0.0411599625818522,1,13,0.82,0.8925,-0.169635854341737,0.106463365267845,-0.0499999999999999,-0.054043645699615,0.509431401818429,1
2011-03-27,0.82,0.8552,-0.0411599625818522,-0.0411599625818522,-0.0256097560975609,-0.00813516896120159,-0.00353312302839115,-0.00645814866404959,-0.0133826153453989,0.0102053998191449,-0.00383631713554988,1,14,0.779,0.7411,0.106463365267845,-0.0499999999999999,-0.054043645699615,0.509431401818429,0.465521891576014,4
2011-04-03,0.779,0.782,-0.00383631713554988,-0.00383631713554988,-0.127086007702182,0.0441176470588234,0.0422535211267605,0.0186486486486488,-0.00504112496683473,-0.0266666666666667,0.00945205479452049,1,15,0.7369,0.82,-0.0499999999999999,-0.054043645699615,0.509431401818429,0.465521891576014,0.860683393656831,2
2011-04-10,0.7369,0.73,0.00945205479452049,0.00945205479452049,0.0449178993079116,0.116883116883117,0.0726744186046511,0.0840108401084012,-0.0101,0.0606121830487929,0.059434231831603,1,16,1.1123,0.779,-0.054043645699615,0.509431401818429,0.465521891576014,0.860683393656831,0.274570571362632,2
2011-04-17,1.1123,1.0499,0.059434231831603,0.059434231831603,0.0446821900566392,0.0308950086058519,-0.0465815176558979,0.0594518868750549,0.164462809917356,0.206600425833925,-0.0411740485853772,1,17,1.6301,0.7369,0.509431401818429,0.465521891576014,0.860683393656831,0.274570571362632,0.807341110737474,5
2011-04-24,1.6301,1.7001,-0.0411740485853772,-0.0411740485853772,-0.0436169560149685,0.15131494547787,0.0585547941389493,0.163473684210526,0.302813715733285,0.215277777777778,-0.1334,1,18,3.0331,1.1123,0.465521891576014,0.860683393656831,0.274570571362632,0.807341110737474,-0.0424932016602261,5
2011-05-01,3.0331,3.5,-0.1334,-0.1334,0.0550262108074249,0.065625,-0.00114369501466283,-0.0214614955520976,0.0351035103510351,0.0553623188405796,0.0617687448503159,1,19,3.8659,1.6301,0.860683393656831,0.274570571362632,0.807341110737474,-0.0424932016602261,0.2600559034992,5
2011-05-08,3.8659,3.641,0.0617687448503159,0.0617687448503159,-0.0170464833544582,0.528947368421053,-0.0533562822719449,0.145490909090909,0.301228532427542,-0.122017565259819,-0.0292732400627979,1,20,6.987,3.0331,0.274570571362632,0.807341110737474,-0.0424932016602261,0.2600559034992,0.98104366599841,5
2011-05-15,6.987,7.1977,-0.0292732400627979,-0.0292732400627979,0.149835408616001,-0.105042382902451,-0.0431154381084841,-0.0109011627906977,-0.178486407053637,0.0946801659988552,0.0932071833586614,1,21,6.6901,3.8659,0.807341110737474,-0.0424932016602261,0.2600559034992,0.98104366599841,0.110562874251497,5
2011-05-22,6.6901,6.1197,0.0932071833586614,0.0932071833586614,0.0687284196050881,0.0377767521224073,0.132035040431267,0.0474183601795304,-0.0338486019549898,-0.0235406225735864,0.0156383658028216,1,22,8.4299,6.987,-0.0424932016602261,0.2600559034992,0.98104366599841,0.110562874251497,-0.0558814648664968,2
2011-05-29,8.4299,8.3001,0.0156383658028216,0.0156383658028216,0.0439032491488631,-0.00670454545454557,0.0948404072760554,0.107628004179728,0.34811320754717,0.321903428971309,-0.115934356802541,1,23,16.7,6.6901,0.2600559034992,0.98104366599841,0.110562874251497,-0.0558814648664968,-0.0605368360936609,5
2011-06-05,16.7,18.89,-0.115934356802541,-0.115934356802541,0.11077245508982,0.289678111472299,0.237282326090773,-0.0230067567567568,-0.171835125695909,-0.388255385244909,0.265870821986062,1,24,18.5464,8.4299,0.98104366599841,0.110562874251497,-0.0558814648664968,-0.0605368360936609,-0.0613677811550152,5
2011-06-12,18.5464,14.6511,0.265870821986062,0.265870821986062,0.0697493853254541,-0.0282258064516129,0.0108921161825726,-0.127757824525398,-0.0775882352941177,0.0770996747656401,0.0367081113084666,1,25,17.51,16.7,0.110562874251497,-0.0558814648664968,-0.0605368360936609,-0.0613677811550152,-0.0350053430912212,4
2011-06-19,17.51,16.89,0.0367081113084666,0.0367081113084666,0,0,0,0,0,0,-0.0605368360936609,1,26,16.45,18.5464,-0.0558814648664968,-0.0605368360936609,-0.0613677811550152,-0.0350053430912212,-0.116778523489933,2
2011-06-26,16.45,17.51,-0.0605368360936609,-0.0605368360936609,0.0182370820668694,0.0119283582089551,-0.00618296381078243,-0.0441674087266251,-0.0437239922986149,0.00019484315126328,0.00262987012987015,1,27,15.4405,17.51,-0.0605368360936609,-0.0613677811550152,-0.0350053430912212,-0.116778523489933,0.0623100303951367,1
2011-07-03,15.4405,15.4,0.00262987012987015,0.00262987012987015,-0.102360674848612,-0.0687662337662337,0.145395098745632,-0.00050055805458793,-0.0312734754096141,0.0046108704764567,0.0361613351877608,1,28,14.9,16.45,-0.0613677811550152,-0.0350053430912212,-0.116778523489933,0.0623100303951367,-0.0450643776824035,1
2011-07-10,14.9,14.38,0.0361613351877608,0.0361613351877608,-0.0463691275167786,-0.0140543736056471,-0.00416862963438824,0.00279549853057137,-0.0128663330950679,-0.0065821868211442,-0.0407534021911058,1,29,13.16,15.4405,-0.0350053430912212,-0.116778523489933,0.0623100303951367,-0.0450643776824035,-0.408239700374532,2
2011-07-17,13.16,13.7191,-0.0407534021911058,-0.0407534021911058,0.0243161094224924,0.0274629080118693,-0.0116099406506766,-0.00580010811284637,0.00627479794268915,-0.00112446514888209,0.0219298245614035,1,30,13.98,14.9,-0.116778523489933,0.0623100303951367,-0.0450643776824035,-0.408239700374532,0.366544303797468,1
2011-07-24,13.98,13.68,0.0219298245614035,0.0219298245614035,0.0048497854077254,-0.0117954412790615,0.00412761757947289,-0.0322323772902707,0.000607853166396222,0.00237066889904658,-0.0133256468814439,1,31,13.35,13.16,0.0623100303951367,-0.0450643776824035,-0.408239700374532,0.366544303797468,0.0477597561992273,4
2011-07-31,13.35,13.5303,-0.0133256468814439,-0.0133256468814439,-0.0191310861423221,-0.079773341682831,-0.231535269709544,0.160907127429806,-0.0883813953488373,-0.331625832916662,0.206106870229008,1,32,7.9,13.98,-0.0450643776824035,-0.408239700374532,0.366544303797468,0.0477597561992273,-0.1981381450408,2
2011-08-07,7.9,6.55,0.206106870229008,0.206106870229008,-0.0126708860759494,0.280785651098091,-0.00100100100100098,-0.0518537074148297,-0.000211360634082003,0.0708736324718566,0.06561050241832,1,33,10.7957,13.35,-0.408239700374532,0.366544303797468,0.0477597561992273,-0.1981381450408,-0.0983561371980463,1
